SN,Point Num,Title,Center Point Rel,Circle Point Rel,Center Point Abs,Circle Point Abs,Slope,Angle,Timestamp,Validity,Distance
5,2,Point star value,[63.20677948 91.41255188  8.53539944],[60.13140558 98.26951263  7.85426211],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340010.89729155 10506289.12998584     2565.99684024],0.09063654593569384,-65.87589276741537,Nov-05-2022 14:26:31,False,7.545845440401127
6,2,Point star value,[63.20677948 91.41255188  8.53539944],[59.56629095 98.1888423   7.87328553],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340010.33217692 10506289.04931551     2566.01586366],0.08607504693692347,-61.875892767415365,Nov-05-2022 14:26:31,False,7.720729464020198
7,2,Point star value,[63.20677948 91.41255188  8.53539944],[59.00418521 98.1086015   7.88530016],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340009.77007118 10506288.96907471     2566.02787828],0.08223251427135476,-57.875892767415365,Nov-05-2022 14:26:31,False,7.932307872805384
8,2,Point star value,[63.20677948 91.41255188  8.53539944],[58.37655682 98.01900731  7.88319755],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340009.14244279 10506288.87948052     2566.02577567],0.07969323631708973,-53.875892767415365,Nov-05-2022 14:26:31,False,8.209852105692349
9,2,Point star value,[63.20677948 91.41255188  8.53539944],[57.74438022 97.92876387  7.87338567],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340008.51026619 10506288.78923708     2566.01596379],0.07785767038412685,-49.875892767415365,Nov-05-2022 14:26:31,False,8.528604020617804
10,2,Point star value,[63.20677948 91.41255188  8.53539944],[56.98529192 97.82040373  7.87618899],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340007.75117789 10506288.68087694     2566.01876712],0.0738093129508889,-45.875892767415365,Nov-05-2022 14:26:31,False,8.955558672902454
11,2,Point star value,[63.20677948 91.41255188  8.53539944],[56.23210021 97.71288533  7.87288499],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340006.99798618 10506288.57335854     2566.01546311],0.07048809766101632,-41.875892767415365,Nov-05-2022 14:26:31,False,9.422275620910728
12,2,Point star value,[63.20677948 91.41255188  8.53539944],[55.27643717 97.57646407  8.23142576],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340006.04232314 10506288.43693728     2566.37400389],0.030263873995962583,-37.875892767415365,Nov-05-2022 14:26:31,False,10.048708503532614
13,2,Point star value,[63.20677948 91.41255188  8.53539944],[54.24130451 97.4286985   8.21520591],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340005.00719048 10506288.28917171     2566.35778403],0.029655970818502922,-33.875892767415365,Nov-05-2022 14:26:31,False,10.801679752931811
14,2,Point star value,[63.20677948 91.41255188  8.53539944],[53.08339777 97.26340688  7.80359983],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340003.84928374 10506288.12388008     2565.94617796],0.06258691019898056,-29.875892767415365,Nov-05-2022 14:26:31,False,11.715412588003243
15,2,Point star value,[63.20677948 91.41255188  8.53539944],[51.50963379 97.03875148  7.79488897],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340002.27551975 10506287.89922469     2565.9374671 ],0.05705063097339746,-25.875892767415365,Nov-05-2022 14:26:31,False,13.0009882337343
16,2,Point star value,[63.20677948 91.41255188  8.53539944],[49.80250288 96.7950579   7.78337502],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1340000.56838885 10506287.65553111     2565.92595315],0.05206272611487204,-21.875892767415365,Nov-05-2022 14:26:31,False,14.464146810095333
17,2,Point star value,[63.20677948 91.41255188  8.53539944],[47.76425307 96.50409698  7.85996914],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1339998.53013904 10506287.36457019     2566.00254726],0.04153876177660761,-17.875892767415365,Nov-05-2022 14:26:31,False,16.274263717052357
18,2,Point star value,[63.20677948 91.41255188  8.53539944],[44.50465182 96.03878768  7.7153914 ],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1339995.27053779 10506286.89926089     2565.85796952],0.04256285183811719,-13.875892767415367,Nov-05-2022 14:26:31,False,19.283258281016625
19,2,Point star value,[63.20677948 91.41255188  8.53539944],[39.82172219 95.37029772  7.96349645],[ 1340013.97266545 10506282.27302509     2566.67797756],[ 1339990.58760816 10506286.23077093     2566.10607457],0.024113018855106323,-9.875892767415367,Nov-05-2022 14:26:31,False,23.724496405502382
